Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
23/06/2023,,17,9,,,,,Yes,
23/06/2023,,18,10,,,,,Yes,
23/06/2023,,19,10,,,,,Yes,
23/06/2023,,20,4,,,,,Yes,
24/06/2023,,1,4,,,,,,
24/06/2023,,2,3,,,,,,
24/06/2023,,3,5,,,,,,
24/06/2023,,4,6,,,,,,
24/06/2023,,5,5,,,,,,
24/06/2023,,6,7,,,,,,
24/06/2023,,7,3,,,,,,
24/06/2023,,8,4,,,,,,
24/06/2023,,9,4,,,,,,
24/06/2023,,10,4,,,,,,
24/06/2023,,11,3,,,,,,
24/06/2023,,12,6,,,,,,
24/06/2023,,13,4,,,,,,
24/06/2023,,14,3,,,,,,
24/06/2023,,15,6,,,,,,
24/06/2023,,16,3,,,,,,
24/06/2023,,17,3,,,,,,
24/06/2023,,18,4,,,,,,
24/06/2023,,19,4,,,,,,
24/06/2023,,20,1,,,,,,
25/06/2023,,1,8,,,,,,
25/06/2023,,2,9,,,,,,
25/06/2023,,3,7,,,,,,
25/06/2023,,4,11,,,,,,
25/06/2023,,5,"9,5",,,,,,
25/06/2023,,6,"10,5",,,,,,
25/06/2023,,7,10,,,,,,
25/06/2023,,8,7,,,,,,
25/06/2023,,9,8,,,,,,
25/06/2023,,10,"8,5",,,,,,
25/06/2023,,11,"7,5",,,,,,
25/06/2023,,12,12,,,,,,
25/06/2023,,13,8,,,,,,
25/06/2023,,14,"8,5",,,,,,
25/06/2023,,15,10,,,,,,
25/06/2023,,16,8,,,,,,
25/06/2023,,17,8,,,,,,
25/06/2023,,18,"7,5",,,,,,
25/06/2023,,19,9,,,,,,
25/06/2023,,20,3,,,,,,
27/06/2023,,1,8,,,,,Yes,
27/06/2023,,2,7,,,,,Yes,
27/06/2023,,3,9,,,,,Yes,
27/06/2023,,4,11,,,,,Yes,
27/06/2023,,5,9,,,,,Yes,
27/06/2023,,6,10,,,,,Yes,
27/06/2023,,7,9,,,,,Yes,
27/06/2023,,8,6,,,,,Yes,
27/06/2023,,9,8,,,,,Yes,
27/06/2023,,10,10,,,,,Yes,
27/06/2023,,11,8,,,,,Yes,
27/06/2023,,12,12,,,,,Yes,
27/06/2023,,13,8,,,,,Yes,
27/06/2023,,14,8,,,,,Yes,
27/06/2023,,15,8,,,,,Yes,
27/06/2023,,16,7,,,,,Yes,
27/06/2023,,17,8,,,,,Yes,
27/06/2023,,18,6,,,,,Yes,
27/06/2023,,19,8,,,,,Yes,
27/06/2023,,20,5,,,,,,
28/06/2023,,1,4,,,,,,
28/06/2023,,2,4,,,,,,
28/06/2023,,3,7,,,,,,
28/06/2023,,4,5,,,,,,
28/06/2023,,5,6,,,,,,
28/06/2023,,6,5,,,,,,
28/06/2023,,7,5,,,,,,
28/06/2023,,8,4,,,,,,
28/06/2023,,9,"4,5",,,,,,
28/06/2023,,10,4,,,,,,
28/06/2023,,11,4,,,,,,
28/06/2023,,12,"6,5",,,,,,
28/06/2023,,13,5,,,,,,
28/06/2023,,14,4,,,,,,
28/06/2023,,15,"6,5",,,,,,
28/06/2023,,16,4,,,,,,
28/06/2023,,17,"6,5",,,,,,
28/06/2023,,18,4,,,,,,
28/06/2023,,19,4,,,,,,
28/06/2023,,20,"1,5",,,,,,
29/06/2023,Spilretnig: Med uret,1,6,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,2,8,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,3,9,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,4,10,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,5,9,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,6,10,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,7,10,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,8,6,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,9,7,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,10,8,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,11,7,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,12,11,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,13,"8,5",,,,Jonas,,
29/06/2023,Spilretnig: Med uret,14,9,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,15,9,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,16,7,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,17,9,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,18,6,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,19,6,,,,Jonas,,
29/06/2023,Spilretnig: Med uret,20,3,,,,Jonas,,
30/06/2023,,1,5,,,,,,
30/06/2023,,2,6,,,,,,
30/06/2023,,3,5,,,,,,
30/06/2023,,4,6,,,,,,
30/06/2023,,5,5,,,,,,
30/06/2023,,6,6,,,,,,
30/06/2023,,7,5,,,,,,
30/06/2023,,8,4,,,,,,
30/06/2023,,9,5,,,,,,
30/06/2023,,10,5,,,,,,
30/06/2023,,11,4,,,,,,
30/06/2023,,12,5,,,,,,
30/06/2023,,13,5,,,,,,
30/06/2023,,14,5,,,,,,
30/06/2023,,15,6,,,,,,
30/06/2023,,16,5,,,,,,
30/06/2023,,17,5,,,,,,
30/06/2023,,18,4,,,,,,
30/06/2023,,19,4,,,,,,
30/06/2023,,20,2,,,,,,
01/07/2023,,1,4,,,,,Yes,
01/07/2023,,2,6,,,,,Yes,
01/07/2023,,3,7,,,,,Yes,
01/07/2023,,4,6,,,,,Yes,
01/07/2023,,5,6,,,,,Yes,
01/07/2023,,6,8,,,,,Yes,
01/07/2023,,7,7,,,,,Yes,
01/07/2023,,8,5,,,,,Yes,
01/07/2023,,9,6,,,,,Yes,
01/07/2023,,10,7,,,,,Yes,
01/07/2023,,11,5,,,,,Yes,
01/07/2023,,12,8,,,,,Yes,
01/07/2023,,13,7,,,,,Yes,
01/07/2023,,14,5,,,,,Yes,
01/07/2023,,15,8,,,,,Yes,
01/07/2023,,16,5,,,,,Yes,
01/07/2023,,17,6,,,,,Yes,
01/07/2023,,18,5,,,,,Yes,
01/07/2023,,19,5,,,,,Yes,
01/07/2023,,20,2,,,,,Yes,
02/07/2023,,1,3,,,,,No,
02/07/2023,,2,3,,,,,No,
02/07/2023,,3,5,,,,,No,
02/07/2023,,4,5,,,,,No,
02/07/2023,,5,5,,,,,No,
02/07/2023,,6,5,,,,,No,
02/07/2023,,7,4,,,,,No,
02/07/2023,,8,3,,,,,No,
02/07/2023,,9,3,,,,,No,
02/07/2023,,10,4,,,,,No,
02/07/2023,,11,3,,,,,No,
02/07/2023,,12,5,,,,,No,
02/07/2023,,13,5,,,,,No,
02/07/2023,,14,3,,,,,No,
02/07/2023,,15,5,,,,,No,
02/07/2023,,16,3,,,,,No,
02/07/2023,,17,3,,,,,No,
02/07/2023,,18,3,,,,,No,
02/07/2023,,19,"3,5",,,,,No,
02/07/2023,,20,"0,5",,,,,No,
03/07/2023,,1,7,,,,Rene,,
03/07/2023,,2,7,,,,Rene,,
03/07/2023,,3,10,,,,Rene,,
03/07/2023,,4,8,,,,Rene,,
03/07/2023,,5,9,,,,Rene,,
03/07/2023,,6,8,,,,Rene,,
03/07/2023,,7,5,,,,Rene,,
03/07/2023,,8,6,,,,Rene,,
03/07/2023,,9,7,,,,Rene,,
03/07/2023,,10,7,,,,Rene,,
03/07/2023,,11,6,,,,Rene,,
03/07/2023,,12,8,,,,Rene,,
03/07/2023,,13,6,,,,Rene,,
03/07/2023,,14,6,,,,Rene,,
03/07/2023,,15,6,,,,Rene,,
03/07/2023,,16,6,,,,Rene,,
03/07/2023,,17,6,,,,Rene,,
03/07/2023,,18,6,,,,Rene,,
03/07/2023,,19,6,,,,Rene,,
03/07/2023,,20,3,,,,Rene,,
05/07/2023,,1,28,Singleklipper 1,"3,2",,Rene,,
05/07/2023,,2,33,Singleklipper 1,"3,2",,,,
05/07/2023,,3,26,Singleklipper 1,"3,2",,,,
05/07/2023,,4,39,Singleklipper 1,"3,2",,,,
05/07/2023,,5,30,Singleklipper 1,"3,2",,,,
05/07/2023,,6,32,Singleklipper 1,"3,2",,,,
05/07/2023,,7,34,Singleklipper 1,"3,2",,,,
05/07/2023,,8,,Singleklipper 1,"3,2",,,,
05/07/2023,,9,,Singleklipper 1,"3,2",,,,
05/07/2023,,10,,Singleklipper 1,"3,2",,,,
05/07/2023,,11,26,Singleklipper 1,"3,2",,,,
05/07/2023,,12,44,Singleklipper 1,"3,2",,,,
05/07/2023,,13,31,Singleklipper 1,"3,2",,,,
05/07/2023,,14,37,Singleklipper 1,"3,2",,,,
05/07/2023,,15,35,Singleklipper 1,"3,2",,,,
05/07/2023,,16,40,Singleklipper 1,"3,2",,,,
05/07/2023,,17,36,Singleklipper 1,"3,2",,,,
05/07/2023,,18,,Singleklipper 1,"3,2",,,,
05/07/2023,,19,,Singleklipper 1,"3,2",,,,
05/07/2023,,20,,Singleklipper 1,"3,2",,,,
06/07/2023,,1,1,,,,SWE,,
06/07/2023,,2,"1,5",,,,SWE,,
06/07/2023,,3,"1,5",,,,SWE,,
06/07/2023,,4,2,,,,SWE,,
06/07/2023,,5,"1,5",,,,SWE,,
06/07/2023,,6,1,,,,SWE,,
06/07/2023,,7,1,,,,SWE,,
06/07/2023,,8,1,,,,SWE,,
06/07/2023,,9,1,,,,SWE,,
06/07/2023,,10,1,,,,SWE,,
06/07/2023,,11,1,,,,SWE,,
06/07/2023,,12,"1,5",,,,SWE,,
06/07/2023,,13,1,,,,SWE,,
06/07/2023,,14,"0,5",,,,SWE,,
06/07/2023,,15,"1,5",,,,SWE,,
06/07/2023,,16,"0,5",,,,SWE,,
06/07/2023,,17,1,,,,SWE,,
06/07/2023,,18,"0,5",,,,SWE,,
06/07/2023,,19,1,,,,SWE,,
06/07/2023,,20,"0,5",,,,,,
08/07/2023,,1,5,,,,,,
08/07/2023,,2,9,,,,,,
08/07/2023,,3,9,,,,,,
08/07/2023,,4,8,,,,,,
08/07/2023,,5,10,,,,,,
08/07/2023,,6,9,,,,,,
08/07/2023,,7,8,,,,,,
08/07/2023,,8,6,,,,,,
08/07/2023,,9,7,,,,,,
08/07/2023,,10,7,,,,,,
08/07/2023,,11,7,,,,,,
08/07/2023,,12,10,,,,,,
08/07/2023,,13,8,,,,,,
08/07/2023,,14,7,,,,,,
08/07/2023,,15,9,,,,,,
08/07/2023,,16,8,,,,,,
08/07/2023,,17,9,,,,,,
08/07/2023,,18,6,,,,,,
08/07/2023,,19,6,,,,,,
08/07/2023,,20,5,,,,,,
09/07/2023,,1,2,,,,,No,
09/07/2023,,2,4,,,,,No,
09/07/2023,,3,4,,,,,No,
09/07/2023,,4,4,,,,,No,
09/07/2023,,5,4,,,,,No,
09/07/2023,,6,5,,,,,No,
09/07/2023,,7,4,,,,,No,
09/07/2023,,8,4,,,,,No,
09/07/2023,,9,3,,,,,No,
09/07/2023,,10,4,,,,,No,
09/07/2023,,11,4,,,,,No,
09/07/2023,,12,5,,,,,No,
09/07/2023,,13,4,,,,,No,
09/07/2023,,14,4,,,,,No,
09/07/2023,,15,4,,,,,No,
09/07/2023,,16,3,,,,,No,
09/07/2023,,17,4,,,,,No,
09/07/2023,,18,3,,,,,No,
09/07/2023,,19,3,,,,,No,
09/07/2023,,20,1,,,,,No,
13/07/2023,,1,10,,,,,,
13/07/2023,,2,12,,,,,,
13/07/2023,,3,12,,,,,,
13/07/2023,,4,15,,,,,,
13/07/2023,,5,11,,,,,,
13/07/2023,,6,18,,,,,,
13/07/2023,,7,12,,,,,,
13/07/2023,,8,10,,,,,,
13/07/2023,,9,12,,,,,,
13/07/2023,,10,11,,,,,,
13/07/2023,,11,12,,,,,,
13/07/2023,,12,14,,,,,,
13/07/2023,,13,15,,,,,,
13/07/2023,,14,12,,,,,,
13/07/2023,,15,18,,,,,,
13/07/2023,,16,14,,,,,,
13/07/2023,,17,13,,,,,,
13/07/2023,,18,9,,,,,,
13/07/2023,,19,13,,,,,,
13/07/2023,,20,7,,,,,,
14/07/2023,,1,"8,5",,,,,Yes,
14/07/2023,,2,10,,,,,Yes,
14/07/2023,,3,7,,,,,Yes,
14/07/2023,,4,"7,5",,,,,Yes,
14/07/2023,,5,17,,,,,Yes,
14/07/2023,,6,16,,,,,Yes,
14/07/2023,,7,17,,,,,Yes,
14/07/2023,,8,6,,,,,Yes,
14/07/2023,,9,7,,,,,Yes,
14/07/2023,,10,15,,,,,Yes,
14/07/2023,,11,"12,5",,,,,Yes,
14/07/2023,,12,18,,,,,Yes,
14/07/2023,,13,14,,,,,Yes,
14/07/2023,,14,17,,,,,Yes,
14/07/2023,,15,19,,,,,Yes,
14/07/2023,,16,17,,,,,Yes,
14/07/2023,,17,15,,,,,Yes,
14/07/2023,,18,"6,5",,,,,Yes,
14/07/2023,,19,7,,,,,Yes,
14/07/2023,,20,"1,5",,,,,,
15/07/2023,,1,4,,,,,,
15/07/2023,,2,6,,,,,,
15/07/2023,,3,5,,,,,,
15/07/2023,,4,6,,,,,,
15/07/2023,,5,7,,,,,,
15/07/2023,,6,8,,,,,,
15/07/2023,,7,7,,,,,,
15/07/2023,,8,5,,,,,,
15/07/2023,,9,5,,,,,,
15/07/2023,,10,5,,,,,,
15/07/2023,,11,5,,,,,,
15/07/2023,,12,7,,,,,,
15/07/2023,,13,5,,,,,,
15/07/2023,,14,6,,,,,,
15/07/2023,,15,7,,,,,,
15/07/2023,,16,7,,,,,,
15/07/2023,,17,7,,,,,,
15/07/2023,,18,4,,,,,,
15/07/2023,,19,4,,,,,,
15/07/2023,,20,3,,,,,,
16/07/2023,,1,7,,,,,Yes,
16/07/2023,,2,10,,,,,Yes,
16/07/2023,,3,10,,,,,Yes,
16/07/2023,,4,11,,,,,Yes,
16/07/2023,,5,9,,,,,Yes,
16/07/2023,,6,11,,,,,Yes,
16/07/2023,,7,9,,,,,Yes,
16/07/2023,,8,8,,,,,Yes,
16/07/2023,,9,8,,,,,Yes,
16/07/2023,,10,9,,,,,Yes,
16/07/2023,,11,8,,,,,Yes,
16/07/2023,,12,12,,,,,Yes,
16/07/2023,,13,9,,,,,Yes,
16/07/2023,,14,10,,,,,Yes,
16/07/2023,,15,11,,,,,Yes,
16/07/2023,,16,10,,,,,Yes,
16/07/2023,,17,10,,,,,Yes,
16/07/2023,,18,6,,,,,Yes,
16/07/2023,,19,7,,,,,Yes,
16/07/2023,,20,3,,,,,Yes,
18/07/2023,,1,13,,,,,,
18/07/2023,,2,14,,,,,,
18/07/2023,,3,12,,,,,,
18/07/2023,,4,14,,,,,,
18/07/2023,,5,14,,,,,,
18/07/2023,,6,15,,,,,,
18/07/2023,,7,12,,,,,,
18/07/2023,,8,19,,,,,,
18/07/2023,,9,13,,,,,,
18/07/2023,,10,14,,,,,,
18/07/2023,,11,13,,,,,,
18/07/2023,,12,19,,,,,,
18/07/2023,,13,15,,,,,,
18/07/2023,,14,13,,,,,,
18/07/2023,,15,15,,,,,,
18/07/2023,,16,13,,,,,,
18/07/2023,,17,15,,,,,,
18/07/2023,,18,12,,,,,,
18/07/2023,,19,8,,,,,,
18/07/2023,,20,4,,,,,,
20/07/2023,,1,9,,,,,,
20/07/2023,,2,12,,,,,,
20/07/2023,,3,10,,,,,,
20/07/2023,,4,11,,,,,,
20/07/2023,,5,11,,,,,,
20/07/2023,,6,14,,,,,,
20/07/2023,,7,11,,,,,,
20/07/2023,,8,8,,,,,,
20/07/2023,,9,10,,,,,,
20/07/2023,,10,13,,,,,,
20/07/2023,,11,9,,,,,,
20/07/2023,,12,15,,,,,,
20/07/2023,,13,12,,,,,,
20/07/2023,,14,12,,,,,,
20/07/2023,,15,11,,,,,,
20/07/2023,,16,11,,,,,,
20/07/2023,,17,13,,,,,,
20/07/2023,,18,9,,,,,,
20/07/2023,,19,9,,,,,,
20/07/2023,,20,2,,,,,,
21/07/2023,,1,11,,,,,Yes,Yes
21/07/2023,,2,14,,,,,Yes,Yes
21/07/2023,,3,12,,,,,Yes,Yes
21/07/2023,,4,15,,,,,Yes,Yes
21/07/2023,,5,15,,,,,Yes,Yes
21/07/2023,,6,17,,,,,Yes,Yes
21/07/2023,,7,14,,,,,Yes,Yes
21/07/2023,,8,12,,,,,Yes,Yes
21/07/2023,,9,14,,,,,Yes,Yes
21/07/2023,,10,16,,,,,Yes,Yes
21/07/2023,,11,11,,,,,Yes,Yes
21/07/2023,,12,25,,,,,Yes,Yes
21/07/2023,,13,16,,,,,Yes,Yes
21/07/2023,,14,15,,,,,Yes,Yes
21/07/2023,,15,18,,,,,Yes,Yes
21/07/2023,,16,15,,,,,Yes,Yes
21/07/2023,,17,20,,,,,Yes,Yes
21/07/2023,,18,9,,,,,Yes,Yes
21/07/2023,,19,13,,,,,Yes,Yes
21/07/2023,,20,4,,,,,Yes,Yes
22/07/2023,,1,8,,,,,,
22/07/2023,,2,10,,,,,,
22/07/2023,,3,8,,,,,,
22/07/2023,,4,10,,,,,,
22/07/2023,,5,11,,,,,,
22/07/2023,,6,13,,,,,,
22/07/2023,,7,10,,,,,,
22/07/2023,,8,6,,,,,,
22/07/2023,,9,9,,,,,,
22/07/2023,,10,9,,,,,,
22/07/2023,,11,7,,,,,,
22/07/2023,,12,16,,,,,,
22/07/2023,,13,9,,,,,,
22/07/2023,,14,10,,,,,,
22/07/2023,,15,14,,,,,,
22/07/2023,,16,9,,,,,,
22/07/2023,,17,10,,,,,,
22/07/2023,,18,9,,,,,,
22/07/2023,,19,9,,,,,,
22/07/2023,,20,2,,,,,,
23/07/2023,,1,5,,,,,,Yes
23/07/2023,,2,8,,,,,,Yes
23/07/2023,,3,6,,,,,,Yes
23/07/2023,,4,7,,,,,,Yes
23/07/2023,,5,8,,,,,,Yes
23/07/2023,,6,6,,,,,,Yes
23/07/2023,,7,8,,,,,,Yes
23/07/2023,,8,5,,,,,,Yes
23/07/2023,,9,5,,,,,,Yes
23/07/2023,,10,6,,,,,,Yes
23/07/2023,,11,5,,,,,,Yes
23/07/2023,,12,9,,,,,,Yes
23/07/2023,,13,6,,,,,,Yes
23/07/2023,,14,7,,,,,,Yes
23/07/2023,,15,10,,,,,,Yes
23/07/2023,,16,5,,,,,,Yes
23/07/2023,,17,5,,,,,,Yes
23/07/2023,,18,7,,,,,,Yes
23/07/2023,,19,6,,,,,,Yes
23/07/2023,,20,"0,5",,,,,,Yes
24/07/2023,,1,7,,,,,,
24/07/2023,,2,8,,,,,,
24/07/2023,,3,9,,,,,,
24/07/2023,,4,10,,,,,,
24/07/2023,,5,9,,,,,,
24/07/2023,,6,11,,,,,,
24/07/2023,,7,9,,,,,,
24/07/2023,,8,6,,,,,,
24/07/2023,,9,7,,,,,,
24/07/2023,,10,10,,,,,,
24/07/2023,,11,7,,,,,,
24/07/2023,,12,12,,,,,,
24/07/2023,,13,11,,,,,,
24/07/2023,,14,9,,,,,,
24/07/2023,,15,11,,,,,,
24/07/2023,,16,15,,,,,,
24/07/2023,,17,12,,,,,,
24/07/2023,,18,6,,,,,,
24/07/2023,,19,9,,,,,,
24/07/2023,,20,1,,,,,,
25/07/2023,,1,12,,,,,,
25/07/2023,,2,17,,,,,,
25/07/2023,,3,17,,,,,,
25/07/2023,,4,18,,,,,,
25/07/2023,,5,17,,,,,,
25/07/2023,,6,16,,,,,,
25/07/2023,,7,14,,,,,,
25/07/2023,,8,14,,,,,,
25/07/2023,,9,16,,,,,,
25/07/2023,,10,17,,,,,,
25/07/2023,,11,14,,,,,,
25/07/2023,,12,24,,,,,,
25/07/2023,,13,17,,,,,,
25/07/2023,,14,16,,,,,,
25/07/2023,,15,17,,,,,,
25/07/2023,,16,18,,,,,,
25/07/2023,,17,16,,,,,,
25/07/2023,,18,18,,,,,,
25/07/2023,,19,17,,,,,,
25/07/2023,,20,4,,,,,,
26/07/2023,,1,4,,,,,,
26/07/2023,,2,6,,,,,,
26/07/2023,,3,5,,,,,,
26/07/2023,,4,6,,,,,,
26/07/2023,,5,6,,,,,,
26/07/2023,,6,6,,,,,,
26/07/2023,,7,5,,,,,,
26/07/2023,,8,3,,,,,,
26/07/2023,,9,5,,,,,,
26/07/2023,,10,4,,,,,,
26/07/2023,,11,5,,,,,,
26/07/2023,,12,6,,,,,,
26/07/2023,,13,4,,,,,,
26/07/2023,,14,4,,,,,,
26/07/2023,,15,5,,,,,,
26/07/2023,,16,4,,,,,,
26/07/2023,,17,5,,,,,,
26/07/2023,,18,4,,,,,,
26/07/2023,,19,3,,,,,,
26/07/2023,,20,1,,,,,,
27/07/2023,,1,"4,5",,,,SWE,,
27/07/2023,,2,4,,,,SWE,,
27/07/2023,,3,3,,,,SWE,,
27/07/2023,,4,4,,,,SWE,,
27/07/2023,,5,3,,,,SWE,,
27/07/2023,,6,5,,,,SWE,,
27/07/2023,,7,5,,,,SWE,,
27/07/2023,,8,4,,,,SWE,,
27/07/2023,,9,4,,,,SWE,,
27/07/2023,,10,6,,,,SWE,,
27/07/2023,,11,3,,,,SWE,,
27/07/2023,,12,5,,,,SWE,,
27/07/2023,,13,6,,,,SWE,,
27/07/2023,,14,5,,,,SWE,,
27/07/2023,,15,7,,,,SWE,,
27/07/2023,,16,3,,,,SWE,,
27/07/2023,,17,5,,,,SWE,,
27/07/2023,,18,"4,5",,,,SWE,,
27/07/2023,,19,3,,,,SWE,,
27/07/2023,,20,2,,,,SWE,,
28/07/2023,,1,"2,5",,,,,,
28/07/2023,,2,2,,,,,,
28/07/2023,,3,3,,,,,,
28/07/2023,,4,"2,5",,,,,,
28/07/2023,,5,2,,,,,,
28/07/2023,,6,3,,,,,,
28/07/2023,,7,2,,,,,,
28/07/2023,,8,2,,,,,,
28/07/2023,,9,"2,5",,,,,,
28/07/2023,,10,"2,5",,,,,,
28/07/2023,,11,3,,,,,,
28/07/2023,,12,"3,5",,,,,,
28/07/2023,,13,3,,,,,,
28/07/2023,,14,3,,,,,,
28/07/2023,,15,3,,,,,,
28/07/2023,,16,2,,,,,,
28/07/2023,,17,4,,,,,,
28/07/2023,,18,2,,,,,,
28/07/2023,,19,"2,5",,,,,,
28/07/2023,,20,"0,5",,,,,,
29/07/2023,,1,11,,,,,,
29/07/2023,,2,8,,,,,,
29/07/2023,,3,11,,,,,,
29/07/2023,,4,9,,,,,,
29/07/2023,,5,9,,,,,,
29/07/2023,,6,10,,,,,,
29/07/2023,,7,12,,,,,,
29/07/2023,,8,8,,,,,,
29/07/2023,,9,8,,,,,,
29/07/2023,,10,9,,,,,,
29/07/2023,,11,9,,,,,,
29/07/2023,,12,12,,,,,,
29/07/2023,,13,10,,,,,,
29/07/2023,,14,9,,,,,,
29/07/2023,,15,12,,,,,,
29/07/2023,,16,10,,,,,,
29/07/2023,,17,10,,,,,,
29/07/2023,,18,11,,,,,,
29/07/2023,,19,5,,,,,,
29/07/2023,,20,"0,5",,,,,,
02/08/2023,,1,21,,,,,,
02/08/2023,,2,24,,,,,,
02/08/2023,,3,23,,,,,,
02/08/2023,,4,23,,,,,,
02/08/2023,,5,22,,,,,,
02/08/2023,,6,25,,,,,,
02/08/2023,,7,21,,,,,,
02/08/2023,,8,23,,,,,,
02/08/2023,,9,22,,,,,,
02/08/2023,,10,22,,,,,,
02/08/2023,,11,19,,,,,,
02/08/2023,,12,23,,,,,,
02/08/2023,,13,21,,,,,,
02/08/2023,,14,20,,,,,,
02/08/2023,,15,24,,,,,,
02/08/2023,,16,22,,,,,,
02/08/2023,,17,21,,,,,,
02/08/2023,,18,19,,,,,,
02/08/2023,,19,23,,,,,,
02/08/2023,,20,8,,,,,,
04/08/2023,,1,15,,,,,,
04/08/2023,,2,19,,,,,,
04/08/2023,,3,17,,,,,,
04/08/2023,,4,21,,,,,,
04/08/2023,,5,19,,,,,,
04/08/2023,,6,22,,,,,,
04/08/2023,,7,17,,,,,,
04/08/2023,,8,16,,,,,,
04/08/2023,,9,16,,,,,,
04/08/2023,,10,16,,,,,,
04/08/2023,,11,14,,,,,,
04/08/2023,,12,22,,,,,,
04/08/2023,,13,19,,,,,,
04/08/2023,,14,20,,,,,,
04/08/2023,,15,24,,,,,,
04/08/2023,,16,17,,,,,,
04/08/2023,,17,17,,,,,,
04/08/2023,,18,16,,,,,,
04/08/2023,,19,13,,,,,,
04/08/2023,,20,3,,,,,,
06/08/2023,,1,10,,,,,,
06/08/2023,,2,10,,,,,,
06/08/2023,,3,12,,,,,,
06/08/2023,,4,13,,,,,,
06/08/2023,,5,11,,,,,,
06/08/2023,,6,13,,,,,,
06/08/2023,,7,11,,,,,,
06/08/2023,,8,9,,,,,,
06/08/2023,,9,11,,,,,,
06/08/2023,,10,10,,,,,,
06/08/2023,,11,9,,,,,,
06/08/2023,,12,11,,,,,,
06/08/2023,,13,11,,,,,,
06/08/2023,,14,10,,,,,,
06/08/2023,,15,14,,,,,,
06/08/2023,,16,9,,,,,,
06/08/2023,,17,10,,,,,,
06/08/2023,,18,10,,,,,,
06/08/2023,,19,6,,,,,,
06/08/2023,,20,2,,,,,,
11/08/2023,,1,20,,,,,Yes,Yes
11/08/2023,,2,23,,,,,Yes,Yes
11/08/2023,,3,24,,,,,Yes,Yes
11/08/2023,,4,24,,,,,Yes,Yes
11/08/2023,,5,22,,,,,Yes,Yes
11/08/2023,,6,30,,,,,Yes,Yes
11/08/2023,,7,23,,,,,Yes,Yes
11/08/2023,,8,19,,,,,Yes,Yes
11/08/2023,,9,22,,,,,Yes,Yes
11/08/2023,,10,21,,,,,Yes,Yes
11/08/2023,,11,18,,,,,Yes,Yes
11/08/2023,,12,25,,,,,Yes,Yes
11/08/2023,,13,24,,,,,Yes,Yes
11/08/2023,,14,23,,,,,Yes,Yes
11/08/2023,,15,26,,,,,Yes,Yes
11/08/2023,,16,23,,,,,Yes,Yes
11/08/2023,,17,25,,,,,Yes,Yes
11/08/2023,,18,19,,,,,Yes,Yes
11/08/2023,,19,20,,,,,Yes,Yes
11/08/2023,,20,5,,,,,Yes,Yes
12/08/2023,,1,15,,,,,,
12/08/2023,,2,22,,,,,,
12/08/2023,,3,25,,,,,,
12/08/2023,,4,19,,,,,,
12/08/2023,,5,14,,,,,,
12/08/2023,,6,25,,,,,,
12/08/2023,,7,18,,,,,,
12/08/2023,,8,15,,,,,,
12/08/2023,,9,14,,,,,,
12/08/2023,,10,16,,,,,,
12/08/2023,,11,13,,,,,,
12/08/2023,,12,16,,,,,,
12/08/2023,,13,19,,,,,,
12/08/2023,,14,22,,,,,,
12/08/2023,,15,25,,,,,,
12/08/2023,,16,16,,,,,,
12/08/2023,,17,18,,,,,,
12/08/2023,,18,15,,,,,,
12/08/2023,,19,19,,,,,,
12/08/2023,,20,5,,,,,,
14/08/2023,,1,8,,,,,,
14/08/2023,,2,10,,,,,,
14/08/2023,,3,12,,,,,,
14/08/2023,,4,12,,,,,,
14/08/2023,,5,10,,,,,,
14/08/2023,,6,12,,,,,,
14/08/2023,,7,8,,,,,,
14/08/2023,,8,8,,,,,,
14/08/2023,,9,10,,,,,,
14/08/2023,,10,12,,,,,,
14/08/2023,,11,9,,,,,,
14/08/2023,,12,13,,,,,,
14/08/2023,,13,12,,,,,,
14/08/2023,,14,10,,,,,,
14/08/2023,,15,12,,,,,,
14/08/2023,,16,10,,,,,,
14/08/2023,,17,9,,,,,,
14/08/2023,,18,10,,,,,,
14/08/2023,,19,15,,,,,,
14/08/2023,,20,2,,,,,,
15/08/2023,,1,9,,,,,,
15/08/2023,,2,8,,,,,,
15/08/2023,,3,9,,,,,,
15/08/2023,,4,10,,,,,,
15/08/2023,,5,8,,,,,,
15/08/2023,,6,10,,,,,,
15/08/2023,,7,9,,,,,,
15/08/2023,,8,9,,,,,,
15/08/2023,,9,10,,,,,,
15/08/2023,,10,9,,,,,,
15/08/2023,,11,8,,,,,,
15/08/2023,,12,8,,,,,,
