Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
19/05/2023,,6,4,,,,,,
19/05/2023,,7,5,,,,,,
19/05/2023,,8,3,,,,,,
19/05/2023,,9,3,,,,,,
19/05/2023,,10,4,,,,,,
19/05/2023,,11,4,,,,,,
19/05/2023,,12,6,,,,,,
19/05/2023,,13,3,,,,,,
19/05/2023,,14,5,,,,,,
19/05/2023,,15,4,,,,,,
19/05/2023,,16,6,,,,,,
19/05/2023,,17,5,,,,,,
19/05/2023,,18,4,,,,,,
19/05/2023,,19,2,,,,,,
19/05/2023,,20,"0,5",,,,,,
20/05/2023,,1,2,,,,,,
20/05/2023,,2,4,,,,,,
20/05/2023,,3,2,,,,,,
20/05/2023,,4,4,,,,,,
20/05/2023,,5,3,,,,,,
20/05/2023,,6,2,,,,,,
20/05/2023,,7,3,,,,,,
20/05/2023,,8,2,,,,,,
20/05/2023,,9,2,,,,,,
20/05/2023,,10,3,,,,,,
20/05/2023,,11,2,,,,,,
20/05/2023,,12,4,,,,,,
20/05/2023,,13,2,,,,,,
20/05/2023,,14,4,,,,,,
20/05/2023,,15,2,,,,,,
20/05/2023,,16,3,,,,,,
20/05/2023,,17,3,,,,,,
20/05/2023,,18,2,,,,,,
20/05/2023,,19,1,,,,,,
20/05/2023,,20,"0,25",,,,,,
21/05/2023,,1,4,,,,,,
21/05/2023,,2,5,,,,,,
21/05/2023,,3,3,,,,,,
21/05/2023,,4,5,,,,,,
21/05/2023,,5,5,,,,,,
21/05/2023,,6,5,,,,,,
21/05/2023,,7,6,,,,,,
21/05/2023,,8,4,,,,,,
21/05/2023,,9,4,,,,,,
21/05/2023,,10,5,,,,,,
21/05/2023,,11,5,,,,,,
21/05/2023,,12,6,,,,,,
21/05/2023,,13,4,,,,,,
21/05/2023,,14,6,,,,,,
21/05/2023,,15,4,,,,,,
21/05/2023,,16,5,,,,,,
21/05/2023,,17,5,,,,,,
21/05/2023,,18,3,,,,,,
21/05/2023,,19,3,,,,,,
21/05/2023,,20,1,,,,,,
24/05/2023,,1,3,,,,,,
24/05/2023,,2,4,,,,,,
24/05/2023,,3,2,,,,,,
24/05/2023,,4,4,,,,,,
24/05/2023,,5,3,,,,,,
24/05/2023,,6,4,,,,,,
24/05/2023,,7,5,,,,,,
24/05/2023,,8,3,,,,,,
24/05/2023,,9,3,,,,,,
24/05/2023,,10,5,,,,,,
24/05/2023,,11,4,,,,,,
24/05/2023,,12,6,,,,,,
24/05/2023,,13,4,,,,,,
24/05/2023,,14,5,,,,,,
24/05/2023,,15,4,,,,,,
24/05/2023,,16,5,,,,,,
24/05/2023,,17,5,,,,,,
24/05/2023,,18,2,,,,,,
24/05/2023,,19,1,,,,,,
24/05/2023,,20,"0,25",,,,,,
25/05/2023,,1,4,,,,,,
25/05/2023,,2,5,,,,,,
25/05/2023,,3,4,,,,,,
25/05/2023,,4,6,,,,,,
25/05/2023,,5,6,,,,,,
25/05/2023,,6,5,,,,,,
25/05/2023,,7,6,,,,,,
25/05/2023,,8,5,,,,,,
25/05/2023,,9,5,,,,,,
25/05/2023,,10,6,,,,,,
25/05/2023,,11,5,,,,,,
25/05/2023,,12,6,,,,,,
25/05/2023,,13,5,,,,,,
25/05/2023,,14,6,,,,,,
25/05/2023,,15,7,,,,,,
25/05/2023,,16,7,,,,,,
25/05/2023,,17,6,,,,,,
25/05/2023,,18,4,,,,,,
25/05/2023,,19,3,,,,,,
25/05/2023,,20,1,,,,,,
26/05/2023,,1,6,,,,,,
26/05/2023,,2,6,,,,,,
26/05/2023,,3,4,,,,,,
26/05/2023,,4,6,,,,,,
26/05/2023,,5,7,,,,,,
26/05/2023,,6,7,,,,,,
26/05/2023,,7,7,,,,,,
26/05/2023,,8,5,,,,,,
26/05/2023,,9,5,,,,,,
26/05/2023,,10,6,,,,,,
26/05/2023,,11,5,,,,,,
26/05/2023,,12,8,,,,,,
26/05/2023,,13,5,,,,,,
26/05/2023,,14,7,,,,,,
26/05/2023,,15,5,,,,,,
26/05/2023,,16,7,,,,,,
26/05/2023,,17,7,,,,,,
26/05/2023,,18,4,,,,,,
26/05/2023,,19,3,,,,,,
26/05/2023,,20,1,,,,,,
27/05/2023,Højre-Venstre:Med uret,1,3,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,2,4,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,3,"4,5",,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,4,5,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,5,5,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,6,"4,5",,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,7,7,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,8,4,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,9,4,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,10,4,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,11,5,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,12,6,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,13,"4,5",,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,14,4,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,15,"5,5",,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,16,6,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,17,"4,5",,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,18,4,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,19,3,,,,Jonas,,
27/05/2023,Højre-Venstre:Med uret,20,"1,5",,,,Jonas,,
29/05/2023,,1,4,,,,,,
29/05/2023,,2,5,,,,,,
29/05/2023,,3,4,,,,,,
29/05/2023,,4,6,,,,,,
29/05/2023,,5,4,,,,,,
29/05/2023,,6,4,,,,,,
29/05/2023,,7,4,,,,,,
29/05/2023,,8,4,,,,,,
29/05/2023,,9,4,,,,,,
29/05/2023,,10,4,,,,,,
29/05/2023,,11,4,,,,,,
29/05/2023,,12,5,,,,,,
29/05/2023,,13,3,,,,,,
29/05/2023,,14,4,,,,,,
29/05/2023,,15,5,,,,,,
29/05/2023,,16,4,,,,,,
29/05/2023,,17,5,,,,,,
29/05/2023,,18,3,,,,,,
29/05/2023,,19,2,,,,,,
